时间,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌(元),涨跌幅(%),成交量(手),成交金额(元),换手率(%)
2002/1/4,1645.97,1643.49,1643.5,1608.83,1611.39,-34.58,-2.1009,3028482,3211052900,0.097
2002/1/7,1611.39,1605.74,1605.74,1584.66,1596.76,-14.63,-0.9079,2996972,3033084100,0.0967
2002/1/8,1596.76,1594.87,1607.72,1582.45,1583.46,-13.3,-0.8329,3482541,3752639900,0.1123
2002/1/9,1583.46,1580.71,1580.72,1552.56,1561.35,-22.11,-1.3963,4474518,4243771400,0.1443
2002/1/10,1561.35,1556.74,1580.01,1523.66,1576.44,15.09,0.9665,5586042,5529774900,0.1802
2002/1/11,1576.44,1574.26,1574.27,1535.28,1535.59,-40.85,-2.5913,5483496,4516165800,0.1748
2002/1/14,1535.59,1519.93,1519.93,1484.46,1485.11,-50.48,-3.2873,5929978,5421763000,0.1903
2002/1/15,1485.11,1475.34,1491.7,1458.02,1459.65,-25.46,-1.7144,5598174,5112330800,0.1797
2002/1/16,1459.65,1458.84,1482.18,1439.4,1479.62,19.97,1.3681,6379899,5789750600,0.2047
2002/1/17,1479.62,1476.36,1476.38,1416.3,1419.52,-60.1,-4.0619,5682128,4993908500,0.1823
2002/1/18,1419.52,1405.55,1434.97,1376.89,1415.44,-4.08,-0.2874,7805993,6855958200,0.2487
2002/1/21,1415.44,1407,1412.21,1362.62,1366.97,-48.47,-3.4244,5676971,4781876600,0.1821
2002/1/22,1366.97,1360.29,1400.76,1348.79,1358.69,-8.28,-0.6057,7052189,5872238800,0.2262
2002/1/23,1358.69,1355.86,1445.7,1346.17,1444.97,86.28,6.3502,10514135,8503139800,0.3372
2002/1/24,1444.97,1435.32,1478.54,1400.35,1456.4,11.43,0.791,13670103,11731684900,0.4385
2002/1/25,1456.4,1449.88,1464.9,1442.94,1451.48,-4.92,-0.3378,8148777,6884379800,0.2596
2002/1/28,1451.48,1444.5,1448.6,1357.55,1359.55,-91.93,-6.3335,10562805,8673309200,0.3388
2002/1/29,1359.55,1343.36,1396.11,1339.2,1392.78,33.23,2.4442,7303145,5878101200,0.2343
2002/1/30,1392.78,1392.95,1408.05,1381.01,1396.61,3.83,0.275,5993505,4721291100,0.1922
2002/1/31,1396.61,1413.22,1501.33,1413.22,1491.67,95.06,6.8065,18800697,17119339500,0.6026
2002/2/1,1491.67,1494.58,1507.64,1480.77,1485.77,-5.9,-0.3955,13404074,12498441300,0.4267
2002/2/4,1485.77,1485.68,1513.67,1476.13,1511.33,25.56,1.7203,8424642,7797091400,0.27
2002/2/5,1511.33,1510.57,1522.32,1502.09,1518.28,6.95,0.4599,9616519,8941866600,0.308
2002/2/6,1518.28,1517.81,1521.56,1484.25,1485.8,-32.48,-2.1393,8320731,7682564000,0.2665
2002/2/7,1485.8,1482.36,1521.03,1481.07,1515.39,29.59,1.9915,9612960,8516296500,0.307
2002/2/8,1515.39,1520.72,1530.13,1506.07,1506.62,-8.77,-0.5787,7108149,6585952400,0.2256
2002/2/25,1506.62,1540.49,1544.57,1521.66,1530.28,23.66,1.5704,8070318,7934071700,0.2577
2002/2/26,1530.28,1529.38,1531.72,1507.58,1531.43,1.15,0.0751,6634699,6361964200,0.2119
2002/2/27,1531.43,1531.32,1544.92,1524.69,1538.32,6.89,0.4499,7113873,6571922000,0.2272
2002/2/28,1538.32,1537.93,1544.39,1521.08,1524.7,-13.62,-0.8854,6477989,6240795000,0.2068
2002/3/1,1524.7,1521.53,1521.57,1501.56,1502.54,-22.16,-1.4534,5711626,5351310000,0.1815
2002/3/4,1502.54,1497.83,1527.4,1494.83,1526.8,24.26,1.6146,5520685,5370162200,0.1761
2002/3/5,1526.8,1529.3,1566.07,1529.3,1560.08,33.28,2.1797,11747638,11735387700,0.3745
2002/3/6,1560.08,1564.69,1594.67,1563.92,1569.21,9.13,0.5852,16091550,15713024200,0.513
2002/3/7,1569.21,1569.17,1613.26,1569.07,1613,43.79,2.7906,16338198,16103668800,0.5208
2002/3/8,1613,1622.87,1645.29,1611.23,1640.26,27.26,1.69,23170420,22806740300,0.7355
2002/3/11,1640.26,1643.59,1664.52,1632.62,1664.09,23.83,1.4528,19476519,19530693200,0.6209
2002/3/12,1664.09,1665.24,1672.04,1641.58,1643.69,-20.4,-1.2259,21011328,21263796100,0.6698
2002/3/13,1643.69,1636.95,1655.63,1621.8,1623.43,-20.26,-1.2326,15002304,15291987700,0.4783
2002/3/14,1623.43,1621.08,1665.79,1621.08,1665.15,41.72,2.5699,11950762,12391854500,0.381
