date,open,close,high,low,volume,chg_amt
2002-04-26,3125.47,3174.88,3176.88,3125.47,7096930.0,0.01684992009019083
2002-04-29,3178.17,3228.41,3229.62,3172.54,11624500.0,0.01686047976616431
2002-04-30,3234.2,3253.46,3263.5,3229.2,10714500.0,0.007759237519398152
2002-05-08,3255.02,3227.93,3265.96,3224.7,6981540.0,-0.00784703054594192
2002-05-09,3219.6,3249.01,3267.01,3216.35,7682430.0,0.0065305009712107705
2002-05-10,3250.1,3216.69,3253.07,3215.18,6751350.0,-0.009947645590503002
2002-05-13,3208.04,3175.67,3208.04,3171.92,5006370.0,-0.01275223910292878
2002-05-14,3173.53,3153.15,3193.33,3149.16,5437490.0,-0.00709141692934089
2002-05-15,3150.91,3131.42,3162.75,3123.26,5491180.0,-0.006891521177235469
2002-05-16,3120.58,3066.88,3120.58,3060.02,7197470.0,-0.020610457875340892
2002-05-17,3054.29,3100.25,3100.38,3038.23,9079740.0,0.010880764816360564
2002-05-20,3106.2,3072.23,3106.2,3041.4,6649600.0,-0.009037980807999349
2002-05-21,3129.19,3170.61,3199.6,3106.69,16263500.0,0.032022342077253366
2002-05-22,3169.66,3133.53,3174.39,3132.4,9261610.0,-0.011694910443100831
2002-05-23,3140.15,3127.13,3175.25,3123.54,6382080.0,-0.0020424249967289573
2002-05-24,3131.5,3080.78,3136.1,3073.0,5628850.0,-0.014821897394735719
2002-05-27,3089.44,3083.76,3106.57,3061.68,4702240.0,0.0009672875051123476
2002-05-28,3093.56,3102.26,3118.53,3086.88,5611950.0,0.005999169844605286
2002-05-29,3108.57,3051.84,3108.57,3041.55,7120270.0,-0.01625266741021064
2002-05-30,3050.69,3059.33,3061.02,3014.67,6152680.0,0.0024542571039110114
2002-05-31,3059.36,3037.0,3073.5,3032.23,4504140.0,-0.007298983764418983
2002-06-03,3028.03,2978.96,3028.03,2972.32,5097560.0,-0.01911096476786301
2002-06-04,2987.51,3010.46,3018.5,2972.8,5620220.0,0.01057416010956844
2002-06-05,3009.97,2964.01,3010.38,2962.08,4594830.0,-0.01542953568557623
2002-06-06,2958.85,3073.67,3092.85,2948.71,9277540.0,0.036997176122887526
2002-06-07,3073.18,3083.29,3106.72,3046.54,9962170.0,0.003129808990555229
2002-06-10,3081.78,3068.69,3085.9,3058.59,4978390.0,-0.004735201683915528
2002-06-11,3069.54,3079.75,3090.77,3063.91,4472680.0,0.003604143787740028
2002-06-12,3082.29,3071.09,3085.01,3044.98,4010370.0,-0.0028119165516681077
2002-06-13,3070.6,3046.88,3081.33,3042.02,3705750.0,-0.007883194566098694
2002-06-14,3041.04,3023.21,3041.07,3018.86,5412790.0,-0.007768602636139287
2002-06-17,3011.4,3022.02,3022.76,3000.43,4087300.0,-0.0003936213494927757
2002-06-18,3024.04,3076.09,3081.85,3024.04,6066970.0,0.017892006009225667
2002-06-19,3078.34,3045.52,3079.98,3039.82,3385550.0,-0.009937940697443885
2002-06-20,3045.33,3062.74,3078.01,3045.33,3977440.0,0.005654206834957511
2002-06-21,3063.64,3180.94,3193.82,3063.27,19471090.0,0.0385928939446379
2002-06-24,3481.12,3478.12,3488.34,3372.79,63826190.0,0.09342521393047333
2002-06-25,3564.98,3496.4,3575.87,3478.65,57050300.0,0.005255712856370741
2002-06-26,3479.28,3507.5,3532.03,3453.82,43288390.0,0.003174693970941514
2002-06-27,3506.95,3522.94,3543.12,3490.46,28176800.0,0.004401995723449766
2002-06-28,3522.91,3551.33,3559.39,3509.72,24974190.0,0.008058610138123236
2002-07-01,3556.53,3519.3,3564.06,3515.22,18319190.0,-0.009019156203450469
2002-07-02,3512.56,3546.52,3547.56,3489.09,16405300.0,0.007734492654789247
2002-07-03,3552.58,3568.01,3578.9,3538.9,18169400.0,0.006059461105534506
2002-07-04,3574.63,3521.71,3586.06,3520.2,22890800.0,-0.01297642103021017
2002-07-05,3521.71,3537.31,3538.29,3489.68,10199290.0,0.004429666270078998
2002-07-08,3540.88,3547.96,3558.98,3527.3,13723900.0,0.0030107624155078553
2002-07-09,3552.42,3533.89,3562.44,3527.46,12685400.0,-0.003965659139336454
2002-07-10,3533.69,3460.2,3541.77,3457.92,16334900.0,-0.02085237514467062
2002-07-11,3447.74,3456.78,3482.85,3442.9,11185400.0,-0.0009883821744406734
2002-07-12,3456.95,3454.43,3469.43,3446.67,7284220.0,-0.0006798234194829764
2002-07-15,3451.04,3423.98,3452.93,3417.67,9183580.0,-0.008814768283045197
2002-07-16,3422.14,3423.93,3465.58,3415.82,7118950.0,-1.460288903561992e-05
2002-07-17,3427.96,3459.66,3461.17,3402.96,7197910.0,0.010435376891466829
2002-07-18,3463.05,3481.36,3487.87,3445.19,9811200.0,0.006272292653035349
2002-07-19,3484.74,3487.87,3494.56,3465.55,7945580.0,0.0018699588666497469
2002-07-22,3484.57,3425.49,3484.57,3424.54,9629840.0,-0.01788484089143234
2002-07-23,3416.21,3433.98,3460.11,3412.54,11402500.0,0.002478477531681668
