,date,chg_amt
218,2005-12-30,0.0
219,2006-01-04,0.04695304695304711
220,2006-01-05,0.0
221,2006-01-06,0.0028625954198472246
222,2006-01-09,-0.00951474785918174
223,2006-01-10,-0.0028818443804033544
224,2006-01-11,-0.011560693641618507
225,2006-01-12,0.004873294346978453
226,2006-01-13,-0.024248302618816598
227,2006-01-16,-0.04174950298210739
228,2006-01-17,0.0103734439834025
229,2006-01-18,0.03798767967145782
230,2006-01-19,0.0029673590504452167
231,2006-01-20,-0.00788954635108482
232,2006-01-23,0.03479125248508939
233,2006-01-24,0.0048030739673392085
234,2006-01-25,0.04206500956022948
235,2006-02-06,0.03394495412844029
236,2006-02-07,-0.032830523513753256
237,2006-02-08,0.0045871559633026545
238,2006-02-09,-0.006392694063926845
239,2006-02-10,0.006433823529411668
240,2006-02-13,-0.0027397260273971614
241,2006-02-14,0.013736263736263646
242,2006-02-15,0.03794037940379407
243,2006-02-16,0.0
244,2006-02-17,0.023498694516971202
245,2006-02-20,0.008503401360544225
246,2006-02-21,0.021079258010118156
247,2006-02-22,0.0
248,2006-02-23,0.0363336085879437
249,2006-02-27,-0.01752988047808749
250,2006-02-28,0.05190592051905907
251,2006-03-01,0.0
252,2006-03-02,-0.03006939090208167
253,2006-03-03,-0.014308426073131968
254,2006-03-06,-0.007258064516128949
255,2006-03-07,-0.03005686433793675
256,2006-03-08,0.007537688442211156
257,2006-03-09,-0.01995012468827932
258,2006-03-10,0.008481764206955053
259,2006-03-13,0.026913372582001705
260,2006-03-14,-0.018837018837018944
261,2006-03-15,0.010851419031719635
262,2006-03-16,0.009909165978530149
263,2006-03-17,0.009811937857726908
264,2006-03-20,0.026720647773279285
265,2006-03-21,0.005520504731861116
266,2006-03-22,0.005490196078431465
267,2006-03-23,-0.009360374414976606
268,2006-03-24,-0.011811023622047341
269,2006-03-27,0.017529880478087668
270,2006-03-28,0.006264682850430703
271,2006-03-29,0.018677042801556437
272,2006-03-30,0.0
273,2006-04-03,0.04736440030557682
274,2006-04-04,0.008752735229759308
275,2006-04-05,0.007230657989877085
276,2006-04-06,-0.02297200287150038
277,2006-04-07,-0.012490815576781708
278,2006-04-10,0.03645833333333328
279,2006-04-11,-0.0035893754486720137
280,2006-04-12,0.0036023054755044063
281,2006-04-13,-0.0337401292175161
282,2006-04-14,0.05497771173848428
283,2006-04-17,0.004929577464788815
284,2006-04-18,-0.01191310441485643
285,2006-04-19,-0.02198581560283682
286,2006-04-20,-0.01522842639593902
287,2006-04-21,0.027982326951398975
288,2006-04-24,-0.02005730659025774
289,2006-04-25,-0.02558479532163753
290,2006-04-26,0.04501125281320334
291,2006-04-27,-0.017946877243359593
292,2006-04-28,0.08187134502923966
293,2006-05-08,0.023648648648648594
294,2006-05-09,0.01782178217821791
295,2006-05-10,-0.015564202334630364
296,2006-05-11,-0.0138339920948616
297,2006-05-12,0.007348029392117501
298,2006-05-15,0.013262599469496032
299,2006-05-16,0.027486910994764423
300,2006-05-17,0.0070063694267515275
301,2006-05-18,-0.02213788741302968
302,2006-05-19,0.010996119016817532
303,2006-05-22,-0.015355086372360858
304,2006-05-23,-0.027290448343079803
305,2006-05-24,0.020708082832331273
306,2006-05-25,-0.0019633507853403886
307,2006-05-26,0.02032786885245911
308,2006-05-29,0.0025706940874036014
309,2006-05-30,-0.013461538461538544
310,2006-05-31,-0.01169590643274855
311,2006-06-01,0.007232084155161158
312,2006-06-02,-0.022845953002610914
313,2006-06-05,0.004676018704074746
314,2006-06-06,-0.01861702127659576
315,2006-06-07,-0.05894308943089429
316,2006-06-08,0.015118790496760192
317,2006-06-09,-0.026950354609928947
318,2006-06-12,0.017492711370262242
319,2006-06-13,-0.01002865329512895
320,2006-06-14,-0.017366136034732128
321,2006-06-15,0.005154639175257655
322,2006-06-16,0.030769230769230795
323,2006-06-19,-0.004975124378109536
324,2006-06-20,0.017142857142857158
325,2006-06-21,-0.007022471910112366
326,2006-06-22,0.028995756718529102
327,2006-06-23,-0.002061855670103171
328,2006-06-26,0.016528925619834725
329,2006-06-27,-0.011517615176151698
330,2006-06-28,0.002056202878683956
331,2006-06-29,0.033515731874144965
332,2006-06-30,0.00661813368630047
333,2006-07-03,0.04142011834319538
334,2006-07-04,-0.01325757575757584
335,2006-07-05,-0.048624440179142574
336,2006-07-06,0.004707464694014724
337,2006-07-07,-0.02610441767068268
338,2006-07-10,0.012371134020618567
339,2006-07-11,0.025797691785471696
340,2006-07-12,0.0
341,2006-07-13,-0.04169424222369288
342,2006-07-14,0.031767955801105
343,2006-07-18,0.0
344,2006-07-19,-0.02811244979919681
345,2006-07-20,0.0
346,2006-07-21,0.01170798898071634
347,2006-07-24,-0.004765146358066792
348,2006-07-25,0.009575923392612868
349,2006-07-26,0.004742547425474334
350,2006-07-27,-0.009440323668240061
351,2006-07-28,0.0
352,2006-07-31,-0.023825731790333655
353,2006-08-01,-0.011854951185495052
354,2006-08-02,-0.009880028228652091
355,2006-08-03,0.007840342124019885
356,2006-08-04,-0.007779349363507708
357,2006-08-07,-0.022095509622238
358,2006-08-09,0.015306122448979524
359,2006-08-10,0.012203876525484497
360,2006-08-11,0.014893617021276688
361,2006-08-14,-0.014675052410901557
362,2006-08-15,0.02198581560283698
363,2006-08-16,0.017349063150589806
364,2006-08-17,-0.014324693042291888
365,2006-08-18,-0.0048442906574395275
366,2006-08-21,0.002086230876217047
367,2006-08-22,0.014573213046495425
368,2006-08-23,0.012311901504787974
369,2006-08-24,0.009459459459459469
370,2006-08-25,-0.012048192771084348
