time,000001.SH,399001.SZ,399006.SZ,000300.SH,000016.SH,000905.SH
2002-01-04,1628.682,3295.7705,0,0,0,0
2002-01-11,1570.7199999999998,3161.6212,0,1279.7036,0,0
2002-01-18,1451.8674,2869.2366,0,1179.0174,0,0
2002-01-25,1415.7024000000001,2813.0988000000007,0,1156.1538,0,0
2002-02-01,1425.2728,2840.5860000000002,0,1167.3139999999999,0,0
2002-02-08,1507.4836,3016.689,0,1235.3428,0,0
2002-03-01,1525.4548,3037.9282,0,1247.1122,0,0
2002-03-08,1581.8696000000002,3176.6688000000004,0,1298.0334,0,0
2002-03-15,1643.4689999999998,3315.7421999999997,0,1359.522,0,0
2002-03-22,1665.2923999999998,3329.0080000000003,0,1369.6786,0,0
2002-03-29,1646.7164,3250.8702000000003,0,1348.6236000000001,0,0
2002-04-05,1612.4478,3174.2128000000002,0,1317.266,0,0
2002-04-12,1658.8678,3238.2284,0,1350.7172,0,0
2002-04-19,1639.4977999999999,3175.2681999999995,0,1337.0074,0,0
2002-04-26,1623.917,3127.5544,0,1319.4904000000001,0,0
2002-04-30,1666.7804999999998,3240.937,0,1351.696,0,0
2002-05-10,1647.048,3231.209666666667,0,1340.8419999999999,0,0
2002-05-17,1591.1046000000001,3125.4734,0,1294.074,0,0
2002-05-24,1563.0408,3116.8566,0,1277.7338,0,0
2002-05-31,1535.5266000000001,3066.8388,0,1254.24,0,0
2002-06-07,1497.3264,3022.0796,0,1225.5322,0,0
2002-06-14,1515.7984000000001,3057.9235999999996,0,1240.2256,0,0
2002-06-21,1521.3701999999998,3077.4634000000005,0,1248.6286,0,0
2002-06-28,1716.6228000000003,3511.2584,0,1417.9450000000002,0,0
2002-07-05,1720.9792000000002,3538.5703999999996,0,1419.3108000000002,0,0
2002-07-12,1711.9964000000004,3490.6526,0,1403.2894000000001,0,0
2002-07-19,1700.0118000000002,3455.3597999999997,0,1391.0956,0,0
2002-07-26,1669.9756000000002,3418.1218,0,1371.0384000000001,0,0
2002-08-02,1660.2298000000003,3420.4726,0,1362.8324,0,0
2002-08-09,1659.8978,3411.6886,0,1359.8511999999998,0,0
2002-08-16,1639.8156,3377.6894,0,1344.934,0,0
2002-08-23,1671.7038,3450.1648,0,1369.8262,0,0
2002-08-30,1672.2164,3446.8102,0,1365.6612,0,0
2002-09-06,1656.0013999999999,3419.9472,0,1352.6906,0,0
2002-09-13,1623.4730000000002,3343.4034,0,1322.0834,0,0
2002-09-20,1605.563,3285.9084000000003,0,1305.6236000000001,0,0
2002-09-27,1593.2854,3273.1164,0,1296.1324,0,0
2002-10-11,1538.2042499999998,3140.4655000000002,0,1249.791,0,0
2002-10-18,1525.2855999999997,3106.5132,0,1238.4724,0,0
2002-10-25,1535.7653999999998,3099.264,0,1245.1745999999998,0,0
2002-11-01,1508.3122,3034.2362,0,1225.0654,0,0
2002-11-08,1543.8132,3127.0557999999996,0,1253.0806,0,0
2002-11-15,1481.0531999999998,3000.8176000000003,0,1199.2505999999998,0,0
2002-11-22,1425.0866,2892.8508,0,1153.1622000000002,0,0
2002-11-29,1400.0128,2847.4849999999997,0,1135.6779999999999,0,0
2002-12-06,1405.8754000000001,2854.8956,0,1140.9294,0,0
2002-12-13,1388.942,2819.8528000000006,0,1126.1796,0,0
2002-12-20,1415.5726,2875.4928,0,1147.2938,0,0
2002-12-27,1409.9328,2862.6452,0,1141.857,0,0
2003-01-03,1341.1285,2726.8827499999998,0,1090.27225,0,0
2003-01-10,1364.2099999999998,2775.4652,0,1106.4168000000002,0,0
2003-01-17,1455.4756,2958.8528000000006,0,1175.0894,0,0
2003-01-24,1465.5575999999999,2972.35,0,1179.3498,0,0
2003-01-29,1498.8703333333333,3042.233666666667,0,1205.925,0,0
2003-02-14,1499.7784,3039.0908000000004,0,1205.8193999999999,0,0
2003-02-21,1498.4302,3023.7558,0,1206.598,0,0
2003-02-28,1506.4044,3037.2948,0,1210.3124,0,0
2003-03-07,1511.6804,3055.8940000000002,0,1212.972,0,0
2003-03-14,1468.8336,2982.9448,0,1178.2278,0,0
2003-03-21,1467.6646,2990.3174,0,1178.9068,0,0
2003-03-28,1477.5449999999998,3011.0264,0,1187.114,0,0
2003-04-04,1517.4602,3124.3458,0,1220.1191999999999,0,0
2003-04-11,1541.4794,3215.1906000000004,0,1242.5566,0,0
2003-04-18,1614.0926000000002,3424.7506000000003,0,1307.2054,0,0
2003-04-25,1534.6206,3256.917,0,1245.4984000000002,0,0
2003-04-30,1522.816,3264.4966666666664,0,1240.7326666666668,0,0
2003-05-16,1529.967,3325.7934,0,1251.6932,0,0
2003-05-23,1546.3036,3426.6808000000005,0,1270.0606,0,0
2003-05-30,1566.8162,3485.2654,0,1291.94,0,0
2003-06-06,1561.609,3448.2462,0,1284.837,0,0
2003-06-13,1552.7378,3377.0415999999996,0,1266.8388,0,0
2003-06-20,1547.7962,3356.9873999999995,0,1261.508,0,0
2003-06-27,1507.66,3259.0271999999995,0,1230.584,0,0
2003-07-04,1495.4389999999999,3254.299,0,1223.7678,0,0
2003-07-11,1515.5196,3340.547,0,1243.4942,0,0
2003-07-18,1524.5728000000001,3394.4384,0,1255.2642,0,0
2003-07-25,1493.524,3317.5233999999996,0,1231.3156000000001,0,0
2003-08-01,1476.2104000000002,3300.2872,0,1220.7286,0,0
2003-08-08,1486.7142,3341.1096000000007,0,1232.6276,0,0
2003-08-15,1465.125,3283.5062,0,1212.6368,0,0
2003-08-22,1443.2876,3227.728,0,1196.2784,0,0
2003-08-29,1422.0852,3179.6832000000004,0,1176.5962,0,0
2003-09-05,1444.6272000000001,3226.0874,0,1195.1934,0,0
2003-09-12,1420.42,3147.8002,0,1173.4046,0,0
2003-09-19,1395.0642,3103.5076,0,1151.3492,0,0
2003-09-26,1382.596,3079.0086,0,1141.3814,0,0
2003-09-30,1361.248,3036.1549999999997,0,1121.8455,0,0
2003-10-10,1381.6223333333335,3125.135333333333,0,1138.4856666666667,0,0
2003-10-17,1381.403,3146.303,0,1137.1126,0,0
2003-10-24,1378.0584000000001,3166.545,0,1136.2957999999999,0,0
2003-10-31,1358.6421999999998,3178.5518,0,1121.3600000000001,0,0
2003-11-07,1366.141,3261.4460000000004,0,1126.0514,0,0
2003-11-14,1330.4327999999998,3200.1241999999997,0,1099.5894,0,0
2003-11-21,1344.3200000000002,3170.2614000000003,0,1103.9188,0,0
2003-11-28,1402.132,3269.8048,0,1146.6779999999999,0,0
2003-12-05,1443.3939999999998,3352.2816,0,1172.9384,0,0
2003-12-12,1458.0531999999998,3350.1495999999997,0,1177.2241999999999,0,0
2003-12-19,1458.855,3353.1046,0,1173.8946,0,0
2003-12-26,1506.9599999999998,3490.447,0,1205.2868,0,0
2004-01-02,1505.5887500000001,3492.3940000000002,0,1201.42725,0,0
2004-01-09,1584.3344000000002,3696.4188000000004,0,1261.7228,1081.4414000000002,0
2004-01-16,1602.1084,3732.3741999999997,0,1284.7482,1091.2977999999998,0
2004-01-30,1609.783,3766.8765000000003,0,1296.6405,1084.0785,0
2004-02-06,1666.1883999999998,3821.3016,0,1335.6398000000002,1114.6214,0
2004-02-13,1678.9336000000003,3871.977,0,1354.9289999999999,1111.2214,0
2004-02-20,1711.2928,3960.4072,0,1384.4186000000002,1124.7364000000002,0
2004-02-27,1668.2594000000001,3888.2248,0,1346.4936,1085.0446,0
2004-03-05,1673.964,3928.4786,0,1352.5858,1082.0402,0
2004-03-12,1667.7404,3890.8060000000005,0,1338.5618,1080.8006,0
2004-03-19,1738.3986,4049.7306,0,1389.7584,1128.8074000000001,0
2004-03-26,1741.5916000000002,4047.114,0,1389.3565999999998,1119.9304000000002,0
2004-04-02,1742.4732,4060.5184,0,1386.2505999999998,1112.5420000000001,0
2004-04-09,1763.2356,4130.9136,0,1398.8438,1112.1129999999998,0
2004-04-16,1701.643,3962.0374,0,1340.104,1069.121,0
2004-04-23,1658.034,3836.6399999999994,0,1295.0967999999998,1047.1362000000001,0
2004-04-30,1605.8388,3688.1704,0,1254.545,1028.4978,0
2004-05-14,1578.4599999999998,3526.4297999999994,0,1220.2032,1008.8054,0
2004-05-21,1552.2158,3488.0235999999995,0,1205.0605999999998,988.0494000000001,0
2004-05-28,1539.7458,3503.2585999999997,0,1194.3834,990.8726,0
2004-06-04,1557.6488,3572.8342,0,1205.8416,997.9451999999999,0
2004-06-11,1483.8892,3418.0737999999997,0,1150.8356,951.2819999999999,0
2004-06-18,1450.1462,3327.0968000000003,0,1122.2608,930.1318000000001,0
2004-06-25,1430.7492,3292.4818,0,1104.2905999999998,907.7808000000001,0
2004-07-02,1415.0580000000002,3314.389,0,1091.9884,906.8255999999999,0
2004-07-09,1440.7851999999998,3371.9614,0,1113.6532,926.93,0
2004-07-16,1415.6075999999998,3331.1148000000003,0,1099.1156,919.1132,0
2004-07-23,1433.6698000000001,3390.0058000000004,0,1117.0993999999998,931.0676,0
2004-07-30,1390.8282000000002,3297.7398000000003,0,1090.606,907.6366,0
2004-08-06,1384.6960000000001,3269.3836,0,1086.9478,907.394,0
2004-08-13,1383.6453999999999,3269.4154,0,1086.0408,915.3452000000001,0
2004-08-20,1351.0230000000001,3210.7186,0,1066.2720000000002,906.9714,0
2004-08-27,1332.9718,3154.3124,0,1050.4782,891.519,0
2004-09-03,1327.5948,3138.5744,0,1044.6550000000002,883.8710000000001,0
2004-09-10,1305.296,3093.791,0,1028.0932,863.4956,0
2004-09-17,1340.3604,3174.2201999999997,0,1054.7266,884.5376,0
2004-09-24,1446.4545999999998,3472.5862,0,1141.9186,954.325,0
2004-09-30,1419.924,3477.97275,0,1124.4297499999998,938.68175,0
2004-10-08,1422.929,3548.405,0,1131.915,936.008,0
2004-10-15,1369.554,3405.415,0,1091.1652,896.8882,0
2004-10-22,1328.6991999999998,3319.2695999999996,0,1061.2242,878.0047999999999,0
2004-10-29,1328.2012,3267.1648,0,1059.4212,876.0120000000001,0
2004-11-05,1308.6943999999999,3154.205,0,1039.0762,865.1356,0
2004-11-12,1333.0662,3192.6688000000004,0,1058.2372,883.7896000000001,0
2004-11-19,1368.8722,3272.7168000000006,0,1084.0314,903.5262,0
2004-11-26,1365.6897999999999,3269.3981999999996,0,1081.646,893.6208,0
2004-12-03,1336.6871999999998,3212.7794,0,1059.3422,875.3292000000001,0
2004-12-10,1329.2722,3193.5104,0,1052.1392,871.8673999999999,0
2004-12-17,1305.1601999999998,3188.3666,0,1033.1792,863.9342,0
2004-12-24,1285.1907999999999,3124.094,0,1016.6866,851.7223999999999,0
2004-12-31,1274.7466,3106.2078,0,1006.5315999999999,845.3724,0
2005-01-07,1244.72175,3035.6475,0,985.6225000000001,826.1535,995.6902499999999
2005-01-14,1253.7440000000001,3065.3056,0,994.5889999999999,834.2708,1007.3077999999999
2005-01-21,1219.8168,3009.5202000000004,0,969.64,815.356,983.2328
