date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
2002-01-04,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-07,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-08,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-09,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-10,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-11,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-14,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-15,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-16,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-17,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-18,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
2002-01-21,100.3475,100.0784,100.2603,100.5754,98.0883,101.32,100.5936,99.634,99.2197,102.2864,100.7016,98.1548,97.6168,98.6608,96.8744,111.0093,112.4906,87.9128,113.3969,105.8834,92.0627,82.0712,0.3323,98.9347,99.0685,99.232,97.7063,99.4524,98.3003,99.8324,98.463,100.0975,99.3127,98.3869,99.8406,99.0932,99.2324,98.9562,98.8898,97.8528,99.7041,99.0817,98.8113,99.7119,100.0231,99.2552
