date,chg_amt
2007-01-04,0.0555290373906126
2007-01-05,-0.0043714199577931726
2007-01-08,-0.01544284632853903
2007-01-09,0.0636629248039366
2007-01-10,0.0073731386439207965
2007-01-11,-0.02296211251435134
2007-01-12,-0.04905992949471205
2007-01-15,0.03583565029348165
2007-01-16,-0.007456009543692322
2007-01-17,0.018479567307692343
2007-01-18,-0.061070954418055726
2007-01-19,-0.008012568735271038
2007-01-22,0.04830535318340192
2007-01-23,0.06360477413506578
2007-01-24,0.03920454545454543
2007-01-25,-0.05850191361399671
2007-01-26,0.036875725900116216
2007-01-29,0.05180621674600941
2007-01-30,0.02808839190628332
2007-01-31,-0.08183348439725491
2007-02-01,-0.035820053589056614
2007-02-02,-0.06479450051192039
2007-02-05,-0.05098529871754778
2007-02-06,-0.01318391562293988
2007-02-07,0.04124916499665997
2007-02-08,-0.005934242181234951
2007-02-09,-0.038560826072926865
2007-02-12,0.05957375398556813
2007-02-13,0.010452961672473842
2007-02-14,0.02382445141065833
2007-02-15,0.03337415799142682
2007-02-16,-0.0010370370370369887
2007-02-26,0.07963814325967669
2007-02-27,-0.09972527472527473
2007-02-28,0.048672566371681415
2007-03-01,-0.01585915902808089
2007-03-02,0.006505026611472441
2007-03-05,-0.05111633372502936
2007-03-06,0.012229102167182622
2007-03-07,0.031197430799816583
2007-03-08,-0.0075633990805279785
2007-03-09,0.004333532576210389
2007-03-12,0.010712691563755405
2007-03-13,-0.011629618725158213
2007-03-14,-0.037831397080726914
2007-03-15,0.011145510835913322
2007-03-16,-0.02434170238824247
2007-03-19,0.016946493017417175
2007-03-20,-0.010029316463508641
2007-03-21,0.013559850374064795
2007-03-22,0.011225588190066048
2007-03-23,0.004409975669099879
2007-03-26,0.031794095382286135
2007-03-27,-0.009537784299339748
2007-03-28,0.033333333333333284
2007-03-29,0.007311827956989271
2007-03-30,0.022630230572160518
2007-04-02,0.04244954766875444
2007-04-03,0.0029372496662215426
2007-04-04,-0.010649627263045686
2007-04-05,0.0039020452099031103
2007-04-06,-0.0107224232676585
2007-04-09,0.03739330713995391
2007-04-10,0.041791824474337234
2007-04-11,0.014541807697129204
2007-04-12,-0.006301742246385785
2007-04-13,-0.02623725441432472
2007-04-16,0.013919039713957346
2007-04-17,0.0064231738035263565
2007-04-18,-0.0036290827180578047
2007-04-19,-0.05739763878422505
2007-04-20,0.036775483011325764
2007-04-23,0.05410615602107702
2007-04-24,0.02023896610582789
2007-04-25,0.0
2007-04-27,-0.00944072657743793
2007-04-30,-0.021112317529255516
2007-05-08,0.02329307369977817
2007-05-09,0.04721185113814277
2007-05-10,0.060149511213340966
2007-05-11,0.007810804946843043
2007-05-14,0.03756727664155008
2007-05-15,-0.048967735242245
2007-05-16,0.007090651249045434
2007-05-17,0.01971403812824961
2007-05-18,0.0030805183768854807
2007-05-21,-0.0008471883935189155
2007-05-22,-0.011446740858505621
2007-05-23,-0.009434973732175318
2007-05-24,-0.01807554930187267
2007-05-25,0.01609347442680785
2007-05-28,0.03297895422000437
2007-05-29,0.0039907582440664
2007-05-30,-0.09518828451882846
2007-05-31,0.03618497109826576
2007-06-01,-0.01997099185540539
2007-06-04,-0.044057377049180384
2007-06-05,0.0
2007-06-06,-0.014290818149339168
2007-06-07,0.02259272683339389
2007-06-08,-0.007088846880907431
2007-06-11,0.002736792003807673
2007-06-12,0.04236383054467795
2007-06-13,0.010245901639344246
2007-06-14,-0.03865224250619788
2007-06-15,-0.017465713280975372
2007-06-18,0.019565736101169136
2007-06-19,-0.005265621343318504
2007-06-20,-0.021879778849547102
2007-06-21,0.013469633193024669
2007-06-22,-0.030971876112495463
2007-06-25,-0.007347538574577576
2007-06-26,0.0018504811250925944
2007-06-27,0.009112178303164615
2007-06-28,0.002806589383770553
2007-06-29,-0.0018252616208323887
2007-07-02,0.06448860173107399
2007-07-03,-0.003435639028859295
2007-07-04,-0.023098138358997992
2007-07-05,-0.05787554405364065
2007-07-06,0.03258833811961533
2007-07-09,0.017170495767835702
2007-07-10,-0.011531145981930727
2007-07-11,0.007095610342754186
2007-07-12,0.002746596608550237
2007-07-13,0.008812671192092395
2007-07-16,-0.039546688702632615
2007-07-17,0.011922320550639295
2007-07-18,-0.010931616664642277
2007-07-19,-0.015596217610217443
2007-07-20,0.02045908183632731
2007-07-23,0.10036674816625914
2007-07-24,0.010776580379957929
2007-07-25,0.01802593976698172
2007-07-26,-0.0024832649535737085
2007-07-27,0.01775083883537176
2007-07-30,0.06987131766457512
2007-07-31,0.0
2007-08-01,-0.022266401590457275
2007-08-02,0.03263521756811709
2007-08-03,0.025696563946046986
2007-08-06,0.0650796698022654
2007-08-07,0.05650684931506855
2007-08-08,-0.03250021325599251
2007-08-09,0.07035796155880797
2007-08-10,-0.015980230642504187
2007-08-13,-0.019337016574585624
2007-08-14,-0.005719163465642354
2007-08-15,0.020518543956044025
2007-08-16,-0.040800874905358886
2007-08-17,-0.0353446763725661
2007-08-20,0.1003727611601054
2007-08-21,0.02586135668842441
2007-08-22,-0.00902061855670104
2007-08-23,0.005445383615084539
2007-08-24,0.06272734621291727
2007-08-27,0.03232676656271385
2007-08-28,0.0
2007-08-29,-0.03514588859416435
2007-08-30,0.0011454753722794035
2007-08-31,0.05171624713958817
2007-09-03,0.05461270670147955
2007-09-05,-0.019462210301905043
2007-09-06,0.023495581427970324
2007-09-07,-0.035770574933187166
2007-09-10,0.0063961338924028045
2007-09-11,-0.0521149636325118
2007-09-12,0.0005214929598450176
2007-09-13,0.03335815338793748
2007-09-14,0.0639141086611904
